School_Name,School_year,Reported,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
CASCADE VIEW ELEMENTARY SCHOOL,2016-17,Y,623,94.2,3.7,0.3,3.2,0.2,0,2.4,2.4,2.4,2.6,3,2.6,587,23,2,20,1,0,15,15,15,16,19,16,SNOQUALMIE VALLEY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"34816 SE RIDGE STREET
SNOQUALMIE
(47.53147, -121.875765)"
HIDDEN RIVER MIDDLE SCHOOL,2016-17,Y,465,90.5,8.6,1.5,6.7,0.6,0,3.2,1.9,2.8,2.6,4.5,4.7,421,40,7,31,3,0,15,9,13,12,21,22,MONROE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jun,N,Y,"9224 PARADISE LAKE RD.
SNOHOMISH
(47.801871, -122.108938)"
HOLY INNOCENTS SCHOOL OF NW,2016-17,Y,23,95.7,4.3,0,4.3,0,0,0,4.3,4.3,4.3,4.3,4.3,22,1,0,1,0,0,0,1,1,1,1,1,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-12,Y,Y,"2530 S 298TH ST
FEDERAL WAY
(47.335022, -122.300263)"
GILBERT ELEMENTARY SCHOOL,2016-17,Y,590,96.9,1.5,0.3,1.2,0,0,0.8,0.8,1,0.8,0.3,1.2,572,9,2,7,0,0,5,5,6,5,2,7,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,"4400 DOUGLAS DR
YAKIMA
(46.605311, -120.568538)"
ACADEMIC INSTITUTE,2016-17,Y,25,100,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Jul,N,N,"13400 NE 20TH SUITE 47
BELLEVUE
(47.628019, -122.160782)"
B F DAY ELEMENTARY SCHOOL,2016-17,Y,293,87,8.2,2.4,6.1,0.3,0,3.1,2.7,2.4,4.1,6.5,5.5,255,24,7,18,1,0,9,8,7,12,19,16,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"3921 LINDEN AV N
SEATTLE
(47.655167, -122.348572)"
HARRISON MIDDLE SCHOOL,2016-17,Y,887,97.4,0.2,0,0.2,0,0,0.1,0.1,0,0,0.1,0,864,2,0,2,0,0,1,1,0,0,1,0,SUNNYSIDE SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,8-Jun,N,Y,"1110 S 6TH ST
SUNNYSIDE
(46.317414, -120.012983)"
ARLINGTON HIGH SCHOOL,2016-17,Y,1633,75.8,9.9,0.8,8.9,0.7,0,5.3,4.7,4.8,4,5.1,6.4,1238,161,13,145,11,0,87,77,79,66,83,104,ARLINGTON SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"18821 CROWN RIDGE BLVD
ARLINGTON
(48.16476, -122.117215)"
ALTERNATIVE SCHOOL (METHOW VALLEY INDEPENDENT  LC),2016-17,Y,23,47.8,30.4,0,30.4,0,0,4.3,4.3,21.7,13,26.1,17.4,11,7,0,7,0,0,1,1,5,3,6,4,METHOW VALLEY SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,12-Sep,N,N,"18 TWIN LAKES RD.
WINTHROP
(48.438675, -120.172266)"
GRASS VALLEY ELEMENTARY SCHOOL,2016-17,Y,580,90.2,9,2.6,6.4,0.5,0,6.6,6.2,6.9,7.2,6.6,7.1,523,52,15,37,3,0,38,36,40,42,38,41,CAMAS SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"3000 NE GRASS VALLEY DR
CAMAS
(45.611819, -122.440878)"
HOUGH ELEMENTARY SCHOOL,2016-17,Y,316,82.9,7.6,0.9,6.6,0,0,5.7,5.4,6.6,6.3,5.7,7.3,262,24,3,21,0,0,18,17,21,20,18,23,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"1900 DANIELS ST
VANCOUVER
(45.636197, -122.674789)"
HUTTON ELEMENTARY,2016-17,Y,553,93.7,6.3,2.5,3.6,0.5,0,2.7,2.7,2.7,3.1,4.2,4.2,518,35,14,20,3,0,15,15,15,17,23,23,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"908 E 24TH AVE
SPOKANE
(47.632746, -117.39554)"
FORKS ALTERNATIVE SCHOOL,2016-17,Y,36,80.6,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,QUILLAYUTE VALLEY SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,12-Sep,N,N,"161 EAST E STREET
FORKS
(47.945817, -124.383258)"
HARNEY ELEMENTARY SCHOOL,2016-17,Y,679,87.6,4.1,1.2,2.4,0.4,0.1,3.2,3.2,3.7,3.5,3.4,3.4,595,28,8,16,3,1,22,22,25,24,23,23,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"3212 E EVERGREEN BLVD
VANCOUVER
(45.625929, -122.637072)"
CHALLENGE ELEMENTARY,2016-17,Y,336,93.5,6,0,6,0,0,1.8,1.2,2.1,1.8,4.2,3.9,314,20,0,20,0,0,6,4,7,6,14,13,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-Jan,N,Y,"5409 228TH ST SW
MOUNTLAKE TERRACE
(47.792023, -122.306199)"
DAYBREAK PRIMARY,2016-17,Y,500,83.2,13.4,2.4,10,1,0,10.4,10.4,10.8,10.8,10.4,12,416,67,12,50,5,0,52,52,54,54,52,60,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,PK-4,Y,N,"1900 NW 20TH AVE
BATTLE GROUND
(45.794089, -122.558318)"
CASCADE CHRISTIAN ACADEMY,2016-17,Y,133,89.5,10.5,0,1.5,3,6,10.5,10.5,10.5,10.5,9,10.5,119,14,0,2,4,8,14,14,14,14,12,14,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,Y,Y,"600 N WESTERN AVE
WENATCHEE
(47.430892, -120.346237)"
CEDAR WOOD ELEMENTARY,2016-17,Y,714,95.7,3.2,0.3,2.8,0.1,0,0.8,0.7,1.8,1.4,2.1,2.4,683,23,2,20,1,0,6,5,13,10,15,17,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"3414 168TH ST. SE
BOTHELL
(47.845383, -122.187663)"
ALKI ELEMENTARY SCHOOL,2016-17,Y,386,87.8,8,2.8,6,0,0.3,2.6,2.6,3.6,3.4,5.2,6,339,31,11,23,0,1,10,10,14,13,20,23,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"3010 59 AV SW
SEATTLE
(47.577289, -122.408076)"
FARWELL ELEMENTARY SCHOOL,2016-17,Y,582,91.6,6,0.3,5.5,0.3,0.2,4.3,4.1,4,3.4,3.3,5.2,533,35,2,32,2,1,25,24,23,20,19,30,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"13005 N CRESTLINE
SPOKANE
(47.775012, -117.379043)"
HAPPY VALLEY ELEMENTARY SCHOOL,2016-17,Y,420,86.2,8.3,1.9,6.2,0.2,0,3.3,3.6,4.8,4.3,7.6,6.4,362,35,8,26,1,0,14,15,20,18,32,27,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"1041 24TH ST
BELLINGHAM
(48.722641, -122.486185)"
HUDTLOFF MIDDLE SCHOOL,2016-17,Y,721,86.4,1.9,0.7,1.1,0.1,0,1.5,1.4,1,0.8,1,1,623,14,5,8,1,0,11,10,7,6,7,7,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"7702 PHILLIPS ROAD
LAKEWOOD
(47.187287, -122.539186)"
BUENA VISTA SDA SCHOOL,2016-17,Y,208,82.2,13.5,1.4,12,0,0,11.1,11.1,10.1,7.7,6.7,9.6,171,28,3,25,0,0,23,23,21,16,14,20,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y,"3320 ACADEMY DR SE
AUBURN
(47.281522, -122.158802)"
FAWCETT ELEMENTARY SCHOOL,2016-17,Y,440,91.4,2.3,0.7,1.4,0,0.2,1.4,0.9,1.8,1.4,0.7,2.3,402,10,3,6,0,1,6,4,8,6,3,10,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"126 E 60TH ST
TACOMA
(47.202747, -122.429974)"
CASCADIA SCHOOL,2016-17,Y,73,61.6,9.6,0,8.2,0,1.4,11,11,11,11,11,11,45,7,0,6,0,1,8,8,8,8,8,8,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,8-Jan,N,Y,"10606 NE 14TH ST
VANCOUVER
(45.631886, -122.563953)"
CAPE HORN SKYE ELEMENTARY,2016-17,Y,405,88.1,8.9,1.7,5.9,1,0.5,4.4,4.4,4.9,5.9,6.7,6.2,357,36,7,24,4,2,18,18,20,24,27,25,WASHOUGAL SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"9731 WASHOUGAL RIVER RD
WASHOUGAL
(45.609445, -122.233982)"
BICKLETON ELEMENTARY & HIGH SCHOOL,2016-17,Y,95,97.9,2.1,0,2.1,0,0,2.1,2.1,2.1,2.1,2.1,2.1,93,2,0,2,0,0,2,2,2,2,2,2,BICKLETON SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 105,K -12,Y,Y,"100 MARKET ST.
BICKELTON
(45.997846, -120.302701)"
HANFORD HIGH SCHOOL,2016-17,Y,1995,61.1,3.8,0.3,3.3,0.3,0,0.3,0,0.6,0.5,0.4,31.4,1219,76,6,65,5,0,5,0,11,10,7,627,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,12-Sep,N,N,"450 HANFORD STREET
RICHLAND
(46.323912, -119.267665)"
GIG HARBOR HIGH,2016-17,Y,1654,92.5,6.1,0.5,5.5,0.4,0,4.4,4.4,3.7,3.7,3.6,4.2,1530,101,8,91,6,0,72,72,61,61,60,70,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"5101 ROSEDALE ST NW
GIG HARBOR
(47.330194, -122.604582)"
CANYON CREEK ELEMENTARY,2016-17,Y,781,90.8,3.6,0.9,2.8,0,0,2,2,2.6,2.4,2.4,2.9,709,28,7,22,0,0,16,16,20,19,19,23,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"21400 35 AV SE
BOTHELL
(47.80359, -122.186189)"
DIERINGER HEIGHTS ELEMENTARY,2016-17,Y,481,91.1,6.4,0.4,5.8,0.2,0,3.3,3.3,4,4.2,4.8,4.8,438,31,2,28,1,0,16,16,19,20,23,23,DIERINGER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"21727 34TH STREET E.
LAKE TAPPS
(47.226555, -122.138148)"
COLUMBIA JUNIOR HIGH SCHOOL,2016-17,Y,591,74.8,4.7,0.2,4.4,0.2,0,2.7,2.7,1.7,1.4,1.4,2.2,442,28,1,26,1,0,16,16,10,8,8,13,FIFE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-Aug,N,N,"2901 54TH AVENUE E
TACOMA
(47.230779, -122.35701)"
BEMISS,2016-17,Y,531,94.4,4.7,1.1,3.2,0.4,0.4,3.4,3.4,3.4,3.2,3,4.1,501,25,6,17,2,2,18,18,18,17,16,22,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,"2323 E BRIDGEPORT AVE
SPOKANE
(47.688398, -117.374763)"
CHLOE CLARK ELEMENTARY,2016-17,Y,606,85.6,1.8,0.3,1.3,0.2,0,1,1,1,1.2,1,1.3,519,11,2,8,1,0,6,6,6,7,6,8,STEILACOOM HIST. SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -3,Y,N,"1700 PALISADE BOULEVARD
DUPONT
(47.097231, -122.639696)"
HAWTHORNE ELEMENTARY SCHOOL,2016-17,Y,405,81,5.7,3,2.7,0.5,0,1,1,1.7,1.7,3,5.4,328,23,12,11,2,0,4,4,7,7,12,22,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"4100 39 AV S
SEATTLE
(47.565447, -122.283884)"
HARBOR HEIGHTS ELEMENTARY SCHOOL,2016-17,Y,571,93.3,5.6,0.2,4.7,0.7,0,3.7,3.7,4,4.7,4,4.4,533,32,1,27,4,0,21,21,23,27,23,25,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"4002 36TH ST NW
GIG HARBOR
(47.290739, -122.592203)"
COVINGTON ELEMENTARY SCHOOL,2016-17,Y,553,89,3.4,1.1,2.4,0,0,2.4,2.2,2.4,2.4,1.8,2.4,492,19,6,13,0,0,13,12,13,13,10,13,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"17070 SE WAX ROAD
COVINGTON
(47.352421, -122.114515)"
HORIZONS ELEMENTARY,2016-17,Y,547,93.4,3.3,1.3,1.8,0.2,0,1.8,2,2,2,1.6,2.4,511,18,7,10,1,0,10,11,11,11,9,13,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,"4601 67TH AVE SE
LACEY
(46.986913, -122.823763)"
GLENWOOD HEIGHTS PRIMARY,2016-17,Y,724,85.4,10.5,0.8,8.8,0.8,0.3,8.8,8.8,9.5,9.4,9.3,9.8,618,76,6,64,6,2,64,64,69,68,67,71,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -4,Y,N,"9716 NE 134TH ST
VANCOUVER
(45.718674, -122.57222)"
CENTRALIA CHRISTIAN,2016-17,Y,119,89.9,9.2,1.7,7.6,0,0,5.9,5.9,5.9,6.7,6.7,9.2,107,11,2,9,0,0,7,7,7,8,8,11,CENTRALIA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y,"1315 SOUTH TOWER AVE
CENTRALIA
(46.701114, -122.960882)"
BETHANY LUTHERAN ELEMENTARY,2016-17,Y,77,98.7,1.3,0,1.3,0,0,1.3,1.3,1.3,1.3,1.3,1.3,76,1,0,1,0,0,1,1,1,1,1,1,SOUTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-8,Y,Y,"151 TREMONT ST W
PORT ORCHARD
(47.525263, -122.648395)"
HOCKINSON HIGH SCHOOL,2016-17,Y,665,87.8,9.3,0.8,8.3,0.5,0,5.3,3.6,6,4.7,5.1,6.8,584,62,5,55,3,0,35,24,40,31,34,45,HOCKINSON SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,12-Sep,N,N,"16819 NE 159 ST
BRUSH PRAIRIE
(45.737637, -122.499673)"
GOLD BAR ELEMENTARY,2016-17,Y,324,83.3,6.2,1.2,3.1,1.9,0,3.7,3.7,4,4,2.8,4.9,270,20,4,10,6,0,12,12,13,13,9,16,SULTAN SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"419 LEWIS AVE
GOLD BAR
(47.856928, -121.697383)"
CASCADIA MONTESSORI SCHOOL,2016-17,Y,64,100,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-4,Y,N,"4239 162ND AVE NE
REDMOND
(47.6485, -122.124326)"
HILTON ELEMENTARY SCHOOL,2016-17,Y,372,93,2.2,0.3,2.2,0,0,1.6,1.6,1.6,1.9,0.8,2.2,346,8,1,8,0,0,6,6,6,7,3,8,ZILLAH SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-3,Y,N,"211 FOURTH AVE
ZILLAH
(46.406362, -120.26634)"
HEDDEN ELEMENTARY SCHOOL,2016-17,Y,565,87.6,3,1.2,1.6,0.2,0,2.5,2.5,2.3,2.5,1.6,2.3,495,17,7,9,1,0,14,14,13,14,9,13,FIFE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,5-Feb,N,N,"11313 8TH ST E
EDGEWOOD
(47.250035, -122.279158)"
CATHCART ELEMENTARY,2016-17,Y,401,89.8,10,3,5.7,1.5,0,7.2,7.2,8,8,8.2,8.7,360,40,12,23,6,0,29,29,32,32,33,35,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"8201 188TH ST SE
SNOHOMISH
(47.826592, -122.122429)"
DESERT HILLS MIDDLE SCHOOL,2016-17,Y,820,94.8,5,0.6,4.3,0.1,0,1.7,2.2,1.8,2.1,2.4,3.4,777,41,5,35,1,0,14,18,15,17,20,28,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,8-Jun,N,Y,"1701 S CLODFELTER RD
KENNEWICK
(46.195242, -119.253432)"
AUBURN ADVENTIST ACADEMY,2016-17,Y,235,94.5,5.5,0.4,4.3,0.9,0,5.5,5.5,5.5,5.5,5.5,5.5,222,13,1,10,2,0,13,13,13,13,13,13,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"5000 AUBURN WAY S
AUBURN
(47.279633, -122.164532)"
HOLY FAMILY PARISH SCHOOL,2016-17,Y,241,93.8,5,0,5,0,0,0.4,0.4,1.2,1.2,3.7,3.3,226,12,0,12,0,0,1,1,3,3,9,8,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"7300 - 120TH AVE NE
KIRKLAND
(47.669998, -122.180185)"
BRIDGEPORT ELEMENTARY,2016-17,Y,362,73.2,1.1,1.1,0,0,0,0.6,0.6,0.3,0.3,0,0.6,265,4,4,0,0,0,2,2,1,1,0,2,BRIDGEPORT SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-5,Y,N,"1400 TACOMA AVE
BRIDGEPORT
(48.006278, -119.674697)"
GLENWOOD SECONDARY,2016-17,Y,37,89.2,10.8,0,10.8,0,0,0,0,0,2.7,5.4,2.7,33,4,0,4,0,0,0,0,0,1,2,1,GLENWOOD SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,12-Jul,N,N,"320 BUNNELL ST.
GLENWOOD
(46.02045, -121.290955)"
"HOLY ROSARY, EDMONDS",2016-17,Y,230,96.5,3.5,0,3.5,0,0,0.9,0.9,1.3,0.4,1.3,2.2,222,8,0,8,0,0,2,2,3,1,3,5,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,"770 ALOHA ST
EDMONDS
(47.815973, -122.370134)"
DICK SCOBEE ELEMENTARY SCHOOL,2016-17,Y,518,91.9,5,1.4,3.5,0.2,0,3.3,3.5,3.5,3.3,2.7,4.1,476,26,7,18,1,0,17,18,18,17,14,21,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"1031 14TH ST NE
AUBURN
(47.320376, -122.21626)"
CASTLE ROCK MIDDLE SCHOOL,2016-17,Y,256,92.2,5.1,0.8,4.3,0,0,3.1,3.1,2,1.6,1.6,3.9,236,13,2,11,0,0,8,8,5,4,4,10,CASTLE ROCK SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,8-Jul,N,N,"615 FRONT AVE SW
CASTLE ROCK
(46.271776, -122.907226)"
DISHMAN HILLS HIGH SCHOOL (CBE ALTERNATIVE PROGRAMS),2016-17,Y,353,48.2,1.7,0,1.7,0,0,1.4,1.4,0.8,0.6,0.6,0.6,170,6,0,6,0,0,5,5,3,2,2,2,WEST VALLEY SCHOOL DISTRICT (SPOKANE),SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"115 S UNIVERSITY
SPOKANE
(47.655957, -117.261316)"
EXPLORER ACADEMY,2016-17,Y,188,77.1,9.6,0.5,9,0,0,5.9,5.3,6.4,5.3,5.9,8,145,18,1,17,0,0,11,10,12,10,11,15,SOUTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -12,Y,Y,"1962 HOOVER AVE SE
PORT ORCHARD
(47.525996, -122.62666)"
HELEN BALLER ELEM,2016-17,Y,608,91.6,7.7,1.8,4.1,1.8,0,6.4,6.6,5.8,6.1,5.1,6.3,557,47,11,25,11,0,39,40,35,37,31,38,CAMAS SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"1954 NE GARFIELD STREET
CAMAS
(45.593645, -122.403274)"
FREEMAN HIGH SCHOOL,2016-17,Y,333,89.2,7.5,1.2,6.9,0,0,5.1,4.8,3.6,3,4.5,6.3,297,25,4,23,0,0,17,16,12,10,15,21,FREEMAN SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"14626 S JACKSON RD
ROCKFORD
(47.519885, -117.195748)"
DER KINDERHUIS MONTESSORI,2016-17,Y,14,71.4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,OAK HARBOR SCHOOL DISTRICT,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-4,Y,N,"900 SE DOCK ST
OAK HARBOR
(48.290678, -122.649495)"
EVERGREEN SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,SHORELINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"15201 MERIDIAN AVE N
SHORELINE
(47.73873, -122.334418)"
EVERGREEN LUTHERAN HIGH SCHOOL,2016-17,Y,91,93.4,6.6,0,6.6,0,0,5.5,5.5,5.5,5.5,5.5,6.6,85,6,0,6,0,0,5,5,5,5,5,6,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"2021 S 260TH ST
DES MOINES
(47.368755, -122.307475)"
ANACORTES MIDDLE SCHOOL,2016-17,Y,426,88,10.6,1.4,8.9,0.2,0.2,4.9,4.5,4.7,5.2,4.7,7,375,45,6,38,1,1,21,19,20,22,20,30,ANACORTES SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jul,N,N,"2202 M AVENUE
ANACORTES
(48.503293, -122.617507)"
FINLEY MIDDLE SCHOOL,2016-17,Y,213,96.7,2.8,0.5,2.3,0,0,1.9,1.9,1.9,0.9,0.9,2.3,206,6,1,5,0,0,4,4,4,2,2,5,FINLEY SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,8-Jun,N,Y,"37208 S FINLEY RD
KENNEWICK
(46.156575, -119.033882)"
H.E.A.R.T. HIGH SCHOOL,2016-17,Y,34,47.1,5.9,0,5.9,0,0,2.9,2.9,0,0,0,2.9,16,2,0,2,0,0,1,1,0,0,0,1,ROCHESTER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,12-Sep,N,N,"10140 HIGHWAY 12 SW
ROCHESTER
(46.821808, -123.096317)"
EDISON ELEMENTARY,2016-17,Y,379,92.6,3.2,0.8,1.6,0.8,0,1.8,1.8,2.4,2.1,2.4,2.6,351,12,3,6,3,0,7,7,9,8,9,10,CENTRALIA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K -3,Y,N,"607 H STREET
CENTRALIA
(46.721936, -122.959097)"
A G WEST BLACK HILLS HIGH SCHOOL,2016-17,Y,878,80.8,7.7,1.5,5.5,0.7,0.1,4.1,3.6,4.3,2.7,4.2,3.8,709,68,13,48,6,1,36,32,38,24,37,33,TUMWATER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,12-Sep,N,N,"7741 LITTLEROCK ROAD SW
TUMWATER
(46.97519, -122.945458)"
EDISON ELEMENTARY SCHOOL,2016-17,Y,463,90.1,2.6,0.2,1.7,0.6,0,2.4,1.7,2.2,2.4,1.5,1.9,417,12,1,8,3,0,11,8,10,11,7,9,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"5830 S PINE ST
TACOMA
(47.203716, -122.473613)"
HIGHLAND MIDDLE SCHOOL,2016-17,Y,502,80.1,8,1.6,6.8,0,0,3.6,3.6,3,2.4,3,6,402,40,8,34,0,0,18,18,15,12,15,30,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"15027 NE BEL-RED ROAD
BELLEVUE
(47.62727, -122.139768)"
AIM HIGH SCHOOL,2016-17,Y,144,75.7,6.3,0.7,5.6,0,0,3.5,3.5,4.2,2.1,2.8,2.1,109,9,1,8,0,0,5,5,6,3,4,3,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"1601 AVENUE D
SNOHOMISH
(47.932005, -122.100356)"
